8 00:59:36.078795 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 23:10:25.451371 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Aug  8 23:10:25.483426 BS18_TS05_TEST_02  [GENERAL] License status=started
Aug  8 23:10:26.141853 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected program 500
Aug  8 23:10:26.142321 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected Video: PID=5005 (0x138d) codec=h264
Aug  8 23:10:26.142348 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 23:10:26.142369 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 23:10:26.142377 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 23:10:26.142383 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.142391 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:26.142438 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
Aug  8 23:10:26.142452 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:26.142462 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.142470 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:26.142478 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.142485 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Aug  8 23:10:26.142503 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5005 (0x138d) on PID=32 (0x20)
Aug  8 23:10:26.142638 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5006 (0x138e) on PID=33 (0x21)
Aug  8 23:10:26.142710 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing for input PID=5006 (0x138e) on PID=34 (0x22)
Aug  8 23:10:26.171698 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected program 500
Aug  8 23:10:26.171851 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Video: PID=5005 (0x138d) codec=h264
Aug  8 23:10:26.171867 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 23:10:26.171890 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 23:10:26.171897 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 23:10:26.171903 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.171911 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:26.171924 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
Aug  8 23:10:26.171932 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:26.171942 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.171949 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:26.171958 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 23:10:26.171964 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
Aug  8 23:10:26.171978 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5005 (0x138d) on PID=32 (0x20)
Aug  8 23:10:26.172074 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=33 (0x21)
Aug  8 23:10:26.172133 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=34 (0x22)
Sep 14 02:38:57.130750 BS18_TS05_TEST_02  [GENERAL] The process is ending
Sep 14 02:39:18.594683 noServiceName  **********************************************************
Sep 14 02:39:18.594697 noServiceName  [GENERAL] MKEL 14.0 - configVersion 17.13.1 - statsVersion 3.15.3
Sep 14 02:39:18.594702 noServiceName  [GENERAL] Log system is syslog
Sep 14 02:39:18.594865 noServiceName  [GENERAL] The process is starting
Sep 14 02:39:19.018542 BS18_TS05_TEST_02  [GENERAL] Esam Server started with ip=192.168.21.51 - port=9104
Sep 14 02:39:19.018603 BS18_TS05_TEST_02  [GENERAL] Service id=e9c9447699d94ad9a463e0b93d3e8f55 - Server id=standalone
Sep 14 02:39:19.022252 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
Sep 14 02:39:19.025539 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Sep 14 02:39:19.035117 BS18_TS05_TEST_02  [SOURCE 2_0] [INPUT] Select program by PMT (use default program number)
Sep 14 02:39:19.040619 BS18_TS05_TEST_02  [SOURCE 2_1] [INPUT] Select program by PMT (use default program number)
Sep 14 02:39:19.425319 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Sep 14 02:39:19.425331 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Sep 14 02:39:19.425339 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Sep 14 02:39:19.425346 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Sep 14 02:39:19.425352 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Sep 14 02:39:19.425392 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Sep 14 02:39:19.425410 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Sep 14 02:39:19.425509 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Sep 14 02:39:19.425515 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Sep 14 02:39:19.425522 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:Aug  8 00:52:24.548412 noServiceName  **********************************************************
Aug  8 00:52:24.548425 noServiceName  [GENERAL] MKEL 14.0 - configVersion 17.13.1 - statsVersion 3.15.3
Aug  8 00:52:24.548430 noServiceName  [GENERAL] Log system is syslog
Aug  8 00:52:24.548606 noServiceName  [GENERAL] The process is starting
Aug  8 00:52:25.021344 BS18_TS05_TEST_02  [GENERAL] Esam Server started with ip=192.168.21.51 - port=9108
Aug  8 00:52:25.021435 BS18_TS05_TEST_02  [GENERAL] Service id=e9c9447699d94ad9a463e0b93d3e8f55 - Server id=standalone
Aug  8 00:52:25.025382 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:25.029726 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:25.041103 BS18_TS05_TEST_02  [SOURCE 2_0] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:25.048243 BS18_TS05_TEST_02  [SOURCE 2_1] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:25.466371 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 00:52:25.466383 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:52:25.466391 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:52:25.466397 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:52:25.466403 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Aug  8 00:52:25.466445 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466464 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466567 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 00:52:25.466575 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:52:25.466583 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:52:25.466590 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:52:25.466596 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
