TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 07:49:50.739125 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 07:50:30.140339 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 08:28:43.639312 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 08:29:04.539357 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 09:28:53.540305 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 09:36:24.741802 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 09:43:34.040828 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 09:44:25.240083 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 09:47:51.140582 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:21:24.641622 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:23:30.642924 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:34:58.041519 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:40:03.843104 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:40:51.440806 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:42:32.041605 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 10:43:58.241968 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 11:13:56.538385 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 11:54:49.439708 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 11:59:56.339579 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 12:20:10.440917 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 12:23:45.639997 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 12:24:24.240083 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 13:22:41.043072 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 13:23:21.241793 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 13:50:41.139471 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 13:50:50.540647 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 13:56:25.542405 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 15:51:57.340991 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 15:55:27.341376 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
