 VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-07-12 19:36:57,720 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-07-12 18:57:38,636 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2022-07-12 18:57:38,636 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2022-07-12 18:57:38,636 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2022-07-12 18:57:38,636 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_PASSWORD
2022-07-12 18:57:38,636 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_PASSWORD instead...
2022-07-12 18:57:38,636 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_URL
2022-07-12 18:57:38,636 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_URL instead...
2022-07-12 18:57:38,636 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_STORAGE_USERNAME
2022-07-12 18:57:38,636 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_STORAGE_USERNAME instead...
2022-07-12 18:57:38,636 | ini_setup | INFO     | configure /opt/ericsson/controller-config/etc/controller-config.ini from /opt/ericsson/controller-config/etc/controller-config.ini
2022-07-12 18:57:38,637 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:38,637 | ini_setup | INFO     | [server]port=8009
2022-07-12 18:57:38,637 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:38,637 | ini_setup | INFO     | return code 0
2022-07-12 18:57:38,637 | ini_setup | INFO     | ---
2022-07-12 19:36:57,719 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_HOST
2022-07-12 19:36:57,719 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_HOST instead...
2022-07-12 19:36:57,719 | ini_setup | WARNING  | Invalid name for ENV VARS : CONTROLLER-CONFIG_SERVER_PORT
2022-07-12 19:36:57,719 | ini_setup | WARNING  | we will search for CONTROLLER_CONFIG_SERVER_PORT instead...
2022-07-12 19:36:57,720 | ini_setup | WARNING  | Invalid name for ENV
