-----------Freespace (df -lh)---------------------------
Filesystem                   Size  Used Avail Use% Mounted on
/dev/mapper/vg_main-lv_root   33G  5.4G   26G  18% /
devtmpfs                      94G     0   94G   0% /dev
tmpfs                         94G   52K   94G   1% /dev/shm
tmpfs                         94G     0   94G   0% /sys/fs/cgroup
tmpfs                         94G 1019M   93G   2% /run
/dev/sda1                    488M  314M  139M  70% /boot
/dev/mapper/vg_main-lv_opt    33G  3.1G   28G  10% /opt
/dev/mapper/vg_main-lv_var   110G  1.7G  102G   2% /var

-----------process running (top -n -1 -b)---------------------------
top - 11:37:46 up 17 days,  1:31,  0 users,  load average: 55.55, 48.30, 48.77
Tasks: 923 total,   2 running, 921 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.2 us,  4.9 sy,  0.1 ni, 40.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 19651568+total, 15327406+free, 40134556 used,  3107052 buff/cache
KiB Swap:        0 total,        0 free,        0 used. 15460832+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   214 root      rt   0       0      0      0 S   0.0  0.0   0:03.98 watchdog/+
   215 root      rt   0       0      0      0 S   0.0  0.0   0:09.60 migration+
   216 root      20   0       0      0      0 S   0.0  0.0   0:02.58 ksoftirqd+
   218 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   219 root      rt   0       0      0      0 S   0.0  0.0   0:04.56 watchdog/+
   220 root      rt   0       0      0      0 S   0.0  0.0   0:09.70 migration+
   221 root      20   0       0      0      0 S   0.0  0.0   0:02.60 ksoftirqd+
   223 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   224 root      rt   0       0      0      0 S   0.0  0.0   0:04.41 watchdog/+
   225 root      rt   0       0      0      0 S   0.0  0.0   0:09.78 migration+
   226 root      20   0       0      0      0 S   0.0  0.0   0:02.60 ksoftirqd+
   228 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   229 root      rt   0       0      0      0 S   0.0  0.0   0:04.29 watchdog/+
   230 root      rt   0       0      0      0 S   0.0  0.0   0:09.89 migration+
   231 root      20   0       0      0      0 S   0.0  0.0   0:02.61 ksoftirqd+
   233 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   234 root      rt   0       0      0      0 S   0.0  0.0   0:03.95 watchdog/+
   235 root      rt   0       0      0      0 S   0.0  0.0   0:10.06 migration+
   236 root      20   0       0      0      0 S   0.0  0.0   0:02.54 ksoftirqd+
   238 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   239 root      rt   0       0      0      0 S   0.0  0.0   0:03.88 watchdog/+
   240 root      rt   0       0      0      0 S   0.0  0.0   0:10.26 migration+
   241 root      20   0       0      0      0 S   0.0  0.0   0:02.57 ksoftirqd+
   243 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   244 root      rt   0       0      0      0 S   0.0  0.0   0:03.42 watchdog/+
   245 root      rt   0       0      0      0 S   0.0  0.0   0:10.42 migration+
   246 root      20   0       0      0      0 S   0.0  0.0   0:02.77 ksoftirqd+
   248 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   249 root      rt   0       0      0      0 S   0.0  0.0   0:05.60 watchdog/+
   250 root      rt   0       0      0      0 S   0.0  0.0   0:04.08 migration+
