-----------Current process (ps aux)---------------------------
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 194056  7192 ?        Ss   Feb27   2:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root        165  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/31]
root        166  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/31]
root        168  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/31:0H]
root        169  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/32]
root        170  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/32]
root        171  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/32]
root        173  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/32:0H]
root        174  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/33]
root        175  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/33]
root        176  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/33]
root        178  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/33:0H]
root        179  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/34]
root        180  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/34]
root        181  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/34]
root        183  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/34:0H]
root        184  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/35]
root        185  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/35]
root        186  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/35]
root        188  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/35:0H]
root        189  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/36]
root        190  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/36]
root        191  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/36]
root        193  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/36:0H]
root        194  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/37]
root        195  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/37]
root        196  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/37]
root        198  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/37:0H]
root        199  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/38]
root        200  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/38]
root        201  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/38]
root        203  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/38:0H]
root        204  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/39]
root        205  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/39]
root        206  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/39]
root        208  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/39:0H]
root        209  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/40]
root        210  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/40]
root        211  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/40]
root        213  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/40:0H]
root        214  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/41]
root        215  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/41]
root        216  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/41]
root        218  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/41:0H]
root        219  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/42]
root        220  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/42]
root        221  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/42]
root        223  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/42:0H]
root        224  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/43]
root        225  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/43]
root        226  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/43]
root        228  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/43:0H]
root        229  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/44]
root        230  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/44]
root        231  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/44]
root        233  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/44:0H]
root        234  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/45]
root        235  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/45]
root        236  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/45]
root        238  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/45:0H]
root        239  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/46]
root        240  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/46]
root        241  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/46]
root        243  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/46:0H]
root        244  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/47]
root        245  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/47]
root        246  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/47]
root        248  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/47:0H]
root        249  0.0  0.0      0     0 ?        S    Feb27   0:05 [watchdog/48]
root        250  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/48]
root        251  0.0  0.0      0     0 ?        S    Feb27   0:03 [ksoftirqd/48]
root        253  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/48:0H]
root        254  0.0  0.0      0     0 ?        S    Feb27   0:05 [watchdog/49]
root        255  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/49]
root        256  0.0  0.0      0     0 ?        S    Feb27   0:03 [ksoftirqd/49]
root        258  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/49:0H]
root        259  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/50]
root        260  0.0  0.0      0     0 ?        S    Feb27   0:07 [migration/50]
root        261  0.0  0.0      0     0 ?        S    Feb27   3:41 [ksoftirqd/50]
root        263  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/50:0H]
root        264  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/51]
root        265  0.0  0.0      0     0 ?        S    Feb27   0:06 [migration/51]
root        266  0.0  0.0      0     0 ?        S    Feb27   2:57 [ksoftirqd/51]
root        268  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/51:0H]
root        269  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/52]
root        270  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/52]
root        271  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/52]
root        273  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/52:0H]
root        274  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/53]
root        275  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/53]
root        276  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/53]
root        278  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/53:0H]
root        279  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/54]
root        280  0.0  0.0      0     0 ?        S    Feb27   0:07 [migration/54]
root        281  0.0  0.0      0     0 ?        S    Feb27   3:27 [ksoftirqd/54]
root        283  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/54:0H]
root        284  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/55]
root        285  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/55]
root        286  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/55]
root        288  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/55:0H]
root        289  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/56]
root        290  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/56]
root        291  0.0  0.0      0     0 ?        S    Feb27   1:33 [ksoftirqd/56]
root        293  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/56:0H]
root        294  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/57]
root        295  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/57]
root        296  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/57]
root        298  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/57:0H]
root        299  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/58]
root        300  0.0  0.0      0     0 ?        S    Feb27   0:05 [migration/58]
root        301  0.0  0.0      0     0 ?        S    Feb27   2:22 [ksoftirqd/58]
root        303  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/58:0H]
